	Domain	Phylum	Class	Order	Family	Genus	Species
OTU2053	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Zopfiella	s:Phialophora_cyclaminis_SH174592.07FU
OTU2055	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Hymenochaetales	f:Hymenochaetaceae	g:Rhizophydium	s:Rhizophydium_brooksianum_SH177054.07FU
OTU2056	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Thelephorales	f:Thelephoraceae	g:Thelephora	s:Thelephora_pseudoversatilis_SH189768.07FU
OTU2057	d:Fungi	p:Chytridiomycota	c:Agaricomycetes	o:Thelephorales	f:Thelephoraceae	g:Tomentella	UNKNOWN
OTU2058	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Funneliformis	s:Funneliformis_mosseae_SH184273.07FU
OTU2059	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	UNKNOWN	UNKNOWN	UNKNOWN
OTU2060	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	UNKNOWN	UNKNOWN	UNKNOWN
OTU2061	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pezizaceae	g:Peziza	s:Phellinus_rimosus_SH482011.07FU
OTU2062	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Helotiales	f:Plectosphaerellaceae	g:Plectosphaerella	s:Zasmidium_macluricola_SH014245.07FU
OTU2063	d:Fungi	p:Chytridiomycota	c:Spizellomycetes	o:Spizellomycetales	f:Spizellomycetaceae	g:Spizellomyces	UNKNOWN
OTU2064	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Lecanorales	f:Myriangiales_fam_Incertae_sedis	g:Endosporium	s:Toninia_physaroides_SH526329.07FU
OTU2065	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Botryosphaeriales	f:Capnodiaceae	g:Antennariella	s:Antennariella_placitae_SH081568.07FU
OTU2066	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Boletaceae	g:Benjaminiella	s:Benjaminiella_multispora_SH208840.07FU
OTU2067	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Ophiosphaerella	s:Ophiosphaerella_korrae_SH183026.07FU
OTU2069	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Pezizaceae	g:Peziza	s:Peziza_polaripapulata_SH194175.07FU
OTU2070	d:Fungi	p:Calcarisporiellomycota	c:Calcarisporiellomycetes	o:Calcarisporiellales	f:Calcarisporiellaceae	g:Calcarisporiella	s:Prosopidicola_mexicana_SH213613.07FU
OTU2071	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lophiostomataceae	g:Sigarispora	s:Sigarispora_arundinis_SH180715.07FU
OTU2073	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Tubeufiales	UNKNOWN	UNKNOWN	UNKNOWN
OTU2074	d:Fungi	p:Basidiomycota	c:Cystobasidiomycetes	o:Erythrobasidiales	f:Microbotryaceae	g:Microbotryum	s:Microbotryum_pustulatum_SH199262.07FU
OTU2075	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Onygenales	f:Onygenaceae	g:Auxarthron	s:Auxarthron_alboluteum_SH195627.07FU
OTU2076	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Glomerellales	f:Plectosphaerellaceae	g:Gibellulopsis	s:Gibellulopsis_piscis_SH219558.07FU
OTU2078	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Clavariaceae	g:Hygrophorus	s:Hygrophorus_chrysodon_SH208716.07FU
OTU2079	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Testudinaceae	g:Lepidosphaeria	s:Lepidosphaeria_nicotiae_SH019877.07FU
OTU2080	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pezizaceae	g:Oedocephalum	s:Oedocephalum_adhaerens_SH012800.07FU
OTU2082	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN
OTU2083	d:Fungi	p:Basidiomycota	c:Agaricostilbomycetes	o:Agaricostilbales	f:Chionosphaeraceae	g:Kurtzmanomyces	s:Kurtzmanomyces_tardus_SH198381.07FU
OTU2084	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Psathyrellaceae	g:Coprinopsis	s:Coprinopsis_stercorea_SH219028.07FU
OTU2086	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Filobasidium	s:Filobasidium_stepposum_SH382125.07FU
