"","Row.names","NMDS1","NMDS2","Domain","Phylum","Class","Order","Family","Genus","Species"
"852","OTU2245",0.356133497863347,-0.0826300773911554,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Coprinus","unk"
"853","OTU2246",0.104036779132906,-0.446747677763152,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"854","OTU2247",-0.0121883407344109,0.199118801729076,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Lepiota","unk"
"855","OTU2249",-0.0710882304990812,0.00300767602535904,"Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Capronia","unk"
"856","OTU225",0.183345785439321,-0.050105254430676,"Fungi","Ascomycota","Dothideomycetes","unk","unk","unk","unk"
"857","OTU2250",-0.161660048716635,-0.126245474527067,"Fungi","Ascomycota","Pezizomycetes","Pezizales","Pyronemataceae","Boubovia","unk"
"858","OTU2252",0.366874916280623,-0.058499146754515,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","unk","unk","unk"
"859","OTU2256",0.723354173256838,-0.53668951480639,"Fungi","Basidiomycota","Agaricomycetes","unk","unk","unk","unk"
"860","OTU2257",0.265892980979815,0.155366039703076,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Preussia","unk"
"861","OTU226",-0.0140777513541623,0.0230287308303644,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"862","OTU2260",0.207367365585321,0.250145679881958,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"863","OTU227",0.291438544625652,0.163336290430087,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Lentitheciaceae","Darksidea","unk"
"864","OTU2271",0.720847852328597,-0.535108836654832,"Fungi","Basidiomycota","Microbotryomycetes","Leucosporidiales","Leucosporidiaceae","Leucosporidiella","Leucosporidiella_creatinivora"
"865","OTU2272",0.6971114810841,0.522392521195709,"Fungi","Basidiomycota","Agaricomycetes","Boletales","Gastrosporiaceae","Gastrosporium","unk"
"866","OTU2279",-0.186386259278374,0.0248439245213717,"Fungi","Basidiomycota","Tremellomycetes","Cystofilobasidiales","Cystofilobasidiaceae","Cystofilobasidium","Cystofilobasidium_infirmominiatum"
"867","OTU228",0.123864672844454,0.109178447378287,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","unk"
"868","OTU2280",-0.0536231003522572,0.0120708449532036,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae","Phoma","unk"
"869","OTU2284",0.0648873464891883,-0.011426695417606,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","unk"
"870","OTU2286",-0.0740142034389701,0.13941714211242,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","Tulostoma","unk"
"871","OTU2287",0.0259825934520527,0.287219086230821,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Pleosporaceae","Alternaria","unk"
"872","OTU229",-0.212051659549376,-0.0874871475649339,"Fungi","Ascomycota","Sordariomycetes","Sordariales","Lasiosphaeriaceae","Podospora","unk"
"873","OTU2290",-0.0402862216237305,0.00254403463379465,"Fungi","Ascomycota","Orbiliomycetes","Orbiliales","Orbiliaceae","Orbilia","unk"
"874","OTU2291",-0.12905628778445,0.0546685765585631,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"875","OTU2292",-0.105008916506882,0.177402321709312,"Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","Metarhizium","Metarhizium_marquandii"
"876","OTU2294",-0.18163807621281,0.0768443964905337,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Aspergillus","unk"
"877","OTU2295",-0.189032645578704,-0.172474183384491,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Mycenaceae","Mycena","unk"
"878","OTU2296",0.0270825175989833,0.289757762119694,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"879","OTU23",0.10312459289902,-0.109406331685823,"Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Galeropsis","unk"
"880","OTU230",0.00782080929793243,0.0136257428315695,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Sporormiaceae","Westerdykella","unk"
"881","OTU2300",-0.132451548162966,0.0206569888538199,"Fungi","Basidiomycota","Ustilaginomycetes","Ustilaginales","Ustilaginaceae","Ustilago","unk"
"882","OTU2301",0.0592021734402316,0.265260132058767,"Fungi","Ascomycota","Dothideomycetes","Pleosporales","Phaeosphaeriaceae","Ophiosphaerella","Ophiosphaerella_herpotricha"
"883","OTU2302",-0.093650901364646,0.0410147278828963,"Fungi","Ascomycota","Leotiomycetes","Helotiales","dummy_family_Leptodontidium","Leptodontidium","unk"
"884","OTU2305",-0.129777239685167,0.126513314484748,"Fungi","Ascomycota","unk","unk","unk","unk","unk"
"885","OTU2306",0.152047082420365,0.14451808141947,"Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Glomus","unk"
"886","OTU2307",-0.10559468229339,0.0544177516968574,"Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Sagenomella","unk"
"887","OTU2308",-0.122637640991252,0.00926402208257462,"Fungi","Basidiomycota","Agaricostilbomycetes","Agaricostilbales","Chionosphaeraceae","Kurtzmanomyces","unk"
