"","OTU","total_OTU_sum","Grass_BOGR_OTU_sum","Grass_BOER_OTU_sum","Grass_PLJA_OTU_sum","Ecotone_BOER_OTU_sum","Ecotone_PLJA_OTU_sum","Ecotone_LATR_OTU_sum","Shrub_LATR_OTU_sum","Domain","Phylum","Class","Order","Family","Genus","Species","Taxon","Taxon.Level","Trophic.Mode","Guild","Growth.Morphology","Trait","Confidence.Ranking","Notes","Citation.Source"
"486","OTU166",6855,28,2546,1128,2473,569,77,34,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2667","OTU99",6803,108,291,473,1812,1209,736,2174,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2529","OTU84",6642,0,2,0,0,6605,0,35,"d:Fungi","p:Ascomycota","c:Pezizomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1790","OTU4136",6639,2,512,2550,154,3388,32,1,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2563","OTU88",6464,4,0,6447,1,3,2,7,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Agaricaceae","UNKNOWN","UNKNOWN","Agaricales","7","Pathotroph-Saprotroph-Symbiotroph","Bryophyte Parasite-Dung Saprotroph-Ectomycorrhizal-Fungal Parasite-Leaf Saprotroph-Plant Parasite-Undefined Saprotroph-Wood Saprotroph","Agaricoid-Gasteroid-Microfungus-Secotioid-Yeast","NULL","Possible","Mushrooms and toadstools, Gill fungi, Agarics... lignicolous, sometimes muscicolous or fungicolous, saprobic, mycorrhizal, rarely parasitic on plants or fungi (Kirk et al. 2008)","b'Kirk PM et al. 2008. Dictionary of the Fungi. Tenth Edition. CAB International, Wallingford'"
"131","OTU116",6409,0,4897,1498,0,0,0,14,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2378","OTU68",6325,376,948,412,273,1480,575,2261,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"492","OTU167",6322,0,1288,0,4838,195,1,0,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Pluteaceae","g:Volvariella","UNKNOWN","Pluteaceae","9","Pathotroph-Saprotroph","Bryophyte Parasite-Ectomycorrhizal-Litter Saprotroph-Wood Saprotroph","Agaricoid","White Rot","Probable","Forming ectomycorrhizas with roots of broadleaved trees, or saprobic on rotten wood, plant remains or humus (Cannon & Kirk 2007)","b'Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127; James TY, et al. 2006. Nature 443:818-822; Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"632","OTU188",6260,52,88,258,231,434,65,5132,"d:Fungi","p:Ascomycota","c:Dothideomycetes","o:Pleosporales","f:Sporormiaceae","g:Sporormia","UNKNOWN","Sporormiaceae","9","Saprotroph","Dung Saprotroph-Plant Saprotroph","Microfungus","NULL","Probable","Saprobic, associated with dung and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"2456","OTU76",6222,9,1,43,69,4696,238,1166,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2369","OTU67",6025,216,346,83,2457,1473,1447,3,"d:Fungi","p:Ascomycota","c:Dothideomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2659","OTU98",5916,388,2551,260,1968,29,236,484,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"208","OTU126",5762,1584,1541,1476,550,459,150,2,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"2258","OTU56",5709,1113,2110,2107,185,186,8,0,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Sordariales","f:Lasiosphaeriaceae","g:Podospora","UNKNOWN","Lasiosphaeriaceae","9","Saprotroph","Undefined Saprotroph","Microfungus","NULL","Probable","Saprobes found dung, soil and rotting vegetation (Cannon & Kirk 2007)","b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge'"
"354","OTU147",5683,2998,0,2097,437,1,149,1,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"479","OTU165",5626,11,0,238,954,3767,604,52,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","f:Crepidotaceae","g:Crepidotus","UNKNOWN","Crepidotaceae","9","Saprotroph","Wood Saprotroph","Agaricoid","NULL","Probable","NULL","b'Aime MC, et al. 2005. American Journal of Botany 92:74-82'"
"589","OTU182",5621,0,119,75,61,288,596,4482,"d:Fungi","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2447","OTU75",5557,629,2651,1404,26,518,327,2,"d:Fungi","p:Ascomycota","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"580","OTU180",5542,1309,1589,1898,129,616,1,0,"d:Fungi","p:Glomeromycota","c:Glomeromycetes","o:Glomerales","f:Glomeraceae","UNKNOWN","UNKNOWN","Glomerales","7","Symbiotroph","Arbuscular Mycorrhizal","NULL","NULL","Highly Probable","NULL","b'Redecker D, et al. 2013. Mycorrhiza 23:515-531'"
"258","OTU133",5525,0,3159,2,3,0,0,2361,"d:Fungi","p:Basidiomycota","c:Agaricomycetes","o:Agaricales","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"870","OTU228",5514,488,1996,607,1092,71,586,674,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"2620","OTU94",5297,2569,1638,60,968,2,27,33,"d:Fungi","p:Ascomycota","c:Sordariomycetes","UNKNOWN","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
"1016","OTU251",5290,1,0,0,3535,1715,31,8,"d:Fungi","p:Ascomycota","c:Sordariomycetes","o:Branch06","UNKNOWN","UNKNOWN","UNKNOWN","-","-","-","-","-","-","-","Unassigned","-"
