"Domain" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"OTU144" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Ceratobasidiaceae" "Ceratobasidium" "unk"
"OTU200" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Diatrype" "unk"
"OTU3688" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU4660" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Ascobolaceae" "Ascobolus" "unk"
"OTU1712" "Fungi" "Ascomycota" "Eurotiomycetes" "Chaetothyriales" "Herpotrichiellaceae" "Cladophialophora" "unk"
"OTU19" "Fungi" "Basidiomycota" "Agaricomycetes" "Hymenochaetales" "Hymenochaetaceae" "Hymenochaete" "unk"
"OTU472" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "dummy_family_Acremonium" "Acremonium" "unk"
"OTU103" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU74" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Xylariaceae" "Xylaria" "unk"
"OTU1041" "Fungi" "Ascomycota" "dummy_class_Trullula" "dummy_order_Trullula" "dummy_family_Trullula" "Trullula" "unk"
"OTU72" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Bolbitiaceae" "Conocybe" "Conocybe_tenera"
"OTU47" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Bolbitiaceae" "Conocybe" "Conocybe_deliquescens"
"OTU241" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU580" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU414" "Fungi" "Ascomycota" "Sordariomycetes" "unk" "unk" "unk" "unk"
"OTU304" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Lentitheciaceae" "Keissleriella" "unk"
"OTU176" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Glomus" "unk"
"OTU538" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Epicoccum" "unk"
"OTU554" "Fungi" "Ascomycota" "dummy_class_Knufia" "unk" "unk" "unk" "unk"
"OTU102" "Fungi" "Ascomycota" "Sordariomycetes" "Coniochaetales" "Coniochaetaceae" "Coniochaeta" "unk"
"OTU358" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Tulostoma" "unk"
"OTU184" "Fungi" "Ascomycota" "Pezizomycetes" "unk" "unk" "unk" "unk"
"OTU246" "Fungi" "Glomeromycota" "Glomeromycetes" "Glomerales" "Glomeraceae" "Rhizophagus" "unk"
"OTU99" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Leptosphaeriaceae" "Leptosphaeria" "unk"
"OTU474" "Fungi" "Chytridiomycota" "Chytridiomycetes" "Spizellomycetales" "Spizellomycetaceae" "Spizellomyces" "Spizellomyces_acuminatus"
"OTU107" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "dummy_family_Myrothecium" "Myrothecium" "Myrothecium_atroviride"
"OTU723" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Tremellaceae" "Cryptococcus" "unk"
"OTU560" "Fungi" "Ascomycota" "Orbiliomycetes" "Orbiliales" "Orbiliaceae" "Orbilia" "unk"
"OTU148" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "Chaetomium" "unk"
"OTU643" "Fungi" "Ascomycota" "Sordariomycetes" "Coniochaetales" "Coniochaetaceae" "Coniochaeta" "unk"
"OTU118" "Fungi" "Ascomycota" "Leotiomycetes" "dummy_order_Myxotrichaceae" "Myxotrichaceae" "Pseudogymnoascus" "Pseudogymnoascus_pannorum"
"OTU49" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Pleosporaceae" "Curvularia" "Curvularia_spicifera"
"OTU240" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Phaeosphaeriaceae" "Phaeosphaeria" "unk"
"OTU2532" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU510" "Fungi" "Ascomycota" "unk" "unk" "unk" "unk" "unk"
"OTU280" "Fungi" "unk" "unk" "unk" "unk" "unk" "unk"
"OTU89" "Fungi" "Ascomycota" "Pezizomycetes" "Pezizales" "Pezizaceae" "Peziza" "unk"
"OTU354" "Fungi" "Basidiomycota" "Tremellomycetes" "Tremellales" "Tremellaceae" "Cryptococcus" "unk"
"OTU2080" "Fungi" "Zygomycota" "dummy_class_Mortierellales" "Mortierellales" "Mortierellaceae" "Mortierella" "unk"
"OTU413" "Fungi" "Ascomycota" "Dothideomycetes" "unk" "unk" "unk" "unk"
"OTU335" "Fungi" "Ascomycota" "Eurotiomycetes" "unk" "unk" "unk" "unk"
"OTU147" "Fungi" "Basidiomycota" "Agaricomycetes" "Corticiales" "Corticiaceae" "Corticium" "unk"
"OTU947" "Fungi" "Basidiomycota" "Agaricomycetes" "Cantharellales" "Ceratobasidiaceae" "Ceratobasidium" "unk"
"OTU737" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Lepiota" "unk"
"OTU588" "Fungi" "Glomeromycota" "Glomeromycetes" "unk" "unk" "unk" "unk"
"OTU134" "Fungi" "Ascomycota" "Eurotiomycetes" "Onygenales" "Onygenaceae" "Amauroascus" "unk"
"OTU257" "Fungi" "Ascomycota" "Sordariomycetes" "Sordariales" "Chaetomiaceae" "unk" "unk"
"OTU110" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Lepiota" "unk"
"OTU145" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Agaricaceae" "Lycoperdon" "unk"
"OTU313" "Fungi" "Ascomycota" "Sordariomycetes" "Hypocreales" "Nectriaceae" "Fusarium" "Fusarium_brachygibbosum"
"OTU24" "Fungi" "Basidiomycota" "Agaricomycetes" "Agaricales" "Psathyrellaceae" "Psathyrella" "unk"
"OTU283" "Fungi" "Ascomycota" "Dothideomycetes" "Botryosphaeriales" "Botryosphaeriaceae" "Diplodia" "unk"
"OTU530" "Fungi" "Ascomycota" "Dothideomycetes" "Pleosporales" "Didymellaceae" "Phoma" "unk"
"OTU583" "Fungi" "Ascomycota" "Sordariomycetes" "Xylariales" "Diatrypaceae" "Eutypa" "unk"
