"","variable","Guild_comb","value","site","SoilProcessID","SAND","SILT","CLAY","pH","P_ppm","K_ppm","OM_percent","NO3_N_ppm","Site","Species","Replicate","NAG_soil","NAG_OM","AlkP_soil","AlkP_OM","AAP_soil","AAP_OM","BG_soil","BG_OM","sampleID","project","Location","Spp","Rep","site_spp"
"40","fungi.Ecotone.LATR.2","Saprotroph",149.707282686808,"Ecotone_LATR_2",74,67.6,19.2,13.2,8.3,0,199,1,2.1,"E","Latr",2,3.52,170.08,34.99,1692.05,"110.85","5360.3",35.03,1693.75,"fungi.Ecotone.LATR.2","transitions","Ecotone","LATR",2,"E.Latr"
"41","fungi.Ecotone.LATR.3","Arbuscular Mycorrhizal",51.9872231493418,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"fungi.Ecotone.LATR.3","transitions","Ecotone","LATR",3,"E.Latr"
"42","fungi.Ecotone.LATR.3","Endophyte",28.9563884742907,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"fungi.Ecotone.LATR.3","transitions","Ecotone","LATR",3,"E.Latr"
"43","fungi.Ecotone.LATR.3","Plant Pathogen",40.616686440827,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"fungi.Ecotone.LATR.3","transitions","Ecotone","LATR",3,"E.Latr"
"44","fungi.Ecotone.LATR.3","Saprotroph",154.660929576608,"Ecotone_LATR_3",75,69.6,19.2,11.2,8.3,21,339,1.2,1.9,"E","Latr",3,5.08,221.97,69.35,3029.41,"89.78","3921.88",71.82,3137.35,"fungi.Ecotone.LATR.3","transitions","Ecotone","LATR",3,"E.Latr"
"45","fungi.Ecotone.LATR.4","Arbuscular Mycorrhizal",99.5775266423041,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"fungi.Ecotone.LATR.4","transitions","Ecotone","LATR",4,"E.Latr"
"46","fungi.Ecotone.LATR.4","Endophyte",18.6737856772692,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"fungi.Ecotone.LATR.4","transitions","Ecotone","LATR",4,"E.Latr"
"47","fungi.Ecotone.LATR.4","Plant Pathogen",61.4375213030799,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"fungi.Ecotone.LATR.4","transitions","Ecotone","LATR",4,"E.Latr"
"48","fungi.Ecotone.LATR.4","Saprotroph",210.616814373027,"Ecotone_LATR_4",76,65.6,17.2,17.2,8.5,0,235,0.7,2,"E","Latr",4,3.02,187.93,71.17,4424.06,"194.76","12107.4",40.69,2529.4,"fungi.Ecotone.LATR.4","transitions","Ecotone","LATR",4,"E.Latr"
"49","fungi.Ecotone.LATR.5","Arbuscular Mycorrhizal",37.6713872736076,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"fungi.Ecotone.LATR.5","transitions","Ecotone","LATR",5,"E.Latr"
"50","fungi.Ecotone.LATR.5","Endophyte",18.2941272642286,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"fungi.Ecotone.LATR.5","transitions","Ecotone","LATR",5,"E.Latr"
"51","fungi.Ecotone.LATR.5","Plant Pathogen",53.8234434589883,"Ecotone_LATR_5",77,55.6,20,24.4,8.4,0,217,1,0.8,"E","Latr",5,1.72,102.5,31.62,1887.3,"192.79","11508.77",20.47,1222.06,"fungi.Ecotone.LATR.5","transitions","Ecotone","LATR",5,"E.Latr"
