OTU,PROTAX
OTU135,"Fungi,Ascomycota,Sordariomycetes,Hypocreales,Cordycipitaceae,Lecanicillium_28528,unk"
OTU137,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk"
OTU265,"Fungi,Ascomycota,unk"
OTU125,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Septoglomus_518436,unk"
OTU171,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora_4284,unk"
OTU200,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Diatrype_1504,unk"
OTU157,"Fungi,Ascomycota,Eurotiomycetes"
OTU583,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Eutypa_1950,unk"
OTU268,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Keissleriella_2553,unk"
OTU323,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU810,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Monosporascus_3260,unk"
OTU266,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU146,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza_3859,unk"
OTU253,"Fungi,Ascomycota,Eurotiomycetes,Eurotiales,Trichocomaceae,Aspergillus_7248,unk"
OTU628,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU356,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU173,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia_4973,unk"
OTU2532,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma_9358,unk"
OTU273,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pyronemataceae,Scutellinia_4973,unk"
OTU151,"Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,Chaetothyrium_978,unk"
OTU109,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU152,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU212,"Fungi,Ascomycota,dummy_class_Acrophialophora,dummy_order_Acrophialophora,dummy_family_Acrophialophora,Acrophialophora_7037,unk"
OTU110,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Lepiota_17938,unk"
OTU321,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU199,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium_7765,unk"
OTU174,"Fungi,Ascomycota,unk"
OTU168,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Apiosordaria_262,unk"
OTU191,"Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Naganishia_9074,Naganishia_albida_813141"
OTU195,"Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Phomopsis_9365,unk"
OTU264,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus_17332,unk"
OTU170,"Fungi,Ascomycota,Sordariomycetes,Sordariales,dummy_family_Madurella,Madurella_8824,Madurella_fahalii_560128"
OTU71,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk"
OTU119,"Fungi,Ascomycota,Dothideomycetes"
OTU210,"Fungi,Ascomycota,Dothideomycetes"
OTU281,"Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron_468,unk"
OTU204,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU187,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Marasmius_18018,unk"
OTU198,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella_5170,unk"
OTU178,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU2565,"Fungi,Ascomycota,Eurotiomycetes,Onygenales,Arthrodermataceae,Trichophyton_10292,unk"
OTU129,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Phoma_9358,unk"
OTU172,"Fungi,Basidiomycota,Agaricomycetes,Thelephorales,Thelephoraceae,Tomentella_18650,unk"
OTU333,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium_7765,unk"
OTU398,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Sporormiaceae,Sporormiella_5170,unk"
OTU183,"Fungi,Ascomycota,Sordariomycetes"
OTU262,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Simocybe_18545,unk"
OTU252,"Fungi,Ascomycota,unk"
OTU219,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU235,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Cladorrhinum_7678,unk"
OTU205,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,unk"
OTU223,"Fungi,Ascomycota,Dothideomycetes"
OTU221,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma_2933,unk"
OTU118,"Fungi,Ascomycota,Leotiomycetes,dummy_order_Myxotrichaceae,Myxotrichaceae,Pseudogymnoascus_4436,Pseudogymnoascus_pannorum_804769"
OTU348,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU208,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU225,"Fungi,Ascomycota,Dothideomycetes"
OTU216,"Fungi,Basidiomycota,Agaricomycetes,Boletales,Gastrosporiaceae,Gastrosporium_19135,unk"
OTU305,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus_20482,unk"
OTU211,"Fungi,Ascomycota,unk"
OTU222,"Fungi,Ascomycota,Dothideomycetes,dummy_order_Pseudoperisporiaceae,Pseudoperisporiaceae,Bryochiton_660,unk"
OTU227,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lentitheciaceae,Darksidea_810760,unk"
OTU226,"Fungi,Ascomycota,unk"
OTU263,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Eutypa_1950,unk"
OTU233,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Didymellaceae,Ascochyta_7239,unk"
OTU237,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleosporaceae,Alternaria_7106,unk"
OTU351,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU276,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Diademaceae,Comoclathris_1198,unk"
OTU239,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,Chaetomium_nozdrenkoae_328064"
OTU220,"Fungi,Ascomycota,unk"
OTU231,"Fungi,Basidiomycota,Tremellomycetes,Trichosporonales,Trichosporonaceae,Trichosporon_10296,unk"
OTU316,"Fungi,Ascomycota,dummy_class_Pseudeurotiaceae,dummy_order_Pseudeurotiaceae,Pseudeurotiaceae,Leuconeurospora_2832,unk"
OTU3773,"Fungi,Glomeromycota,unk"
OTU105,"ungi,Ascomycota,unk"
OTU286,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Podospora_4284,unk"
OTU240,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Phaeosphaeriaceae,Phaeosphaeria_3951,unk"
OTU238,"Fungi,Ascomycota,unk"
OTU357,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU249,"Fungi,Ascomycota,unk"
OTU159,"Fungi,Basidiomycota,Agaricomycetes"
OTU232,"Fungi,Ascomycota,Dothideomycetes"
OTU367,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Cortinariaceae,Cortinarius_17391,unk"
OTU217,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU731,"Fungi,Glomeromycota,Glomeromycetes"
OTU114,"Fungi,Ascomycota,Pezizomycetes"
OTU344,"Fungi,Ascomycota,Dothideomycetes"
OTU209,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,dummy_family_Mycocentrospora,Mycocentrospora_9021,unk"
OTU247,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Agaricaceae,Tulostoma_19339,unk"
OTU403,"Fungi,Glomeromycota,Glomeromycetes"
OTU322,"Fungi,Basidiomycota,Tremellomycetes,Tremellales,Bulleribasidiaceae,Vishniacozyma_813272,unk"
OTU243,"Fungi,Ascomycota,Sordariomycetes,dummy_order_Dinemasporium,dummy_family_Dinemasporium,Dinemasporium_8040,unk"
OTU376,"Fungi,Ascomycota,Pezizomycetes,Pezizales,Pezizaceae,Peziza_3859,unk"
OTU185,"Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Pseudocercospora_9559,unk"
OTU317,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU177,"Fungi,Zygomycota,dummy_class_Mortierellales,Mortierellales,Mortierellaceae,Mortierella_20345,Mortierella_alpina_170280"
OTU184,"ungi,Ascomycota,Pezizomycetes"
OTU290,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Lasiosphaeriaceae,Zopfiella_5876,unk"
OTU244,"Fungi,Ascomycota,Sordariomycetes"
OTU93,"Fungi,Ascomycota,Dothideomycetes"
OTU327,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU402,"Fungi,Basidiomycota,Agaricomycetes"
OTU4070,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Montagnulaceae,Paraconiothyrium_500080,unk"
OTU254,"Fungi,Ascomycota,unk"
OTU294,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Bolbitiaceae,Conocybe_17357,unk"
OTU439,"Fungi,Ascomycota,unk"
OTU246,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Rhizophagus_20482,unk"
OTU287,"Fungi,Ascomycota,Sordariomycetes,Hypocreales,dummy_family_Acremonium,Acremonium_7028,unk"
OTU260,"Fungi,Ascomycota,Sordariomycetes,Xylariales,Diatrypaceae,Monosporascus_3260,unk"
OTU289,"Fungi,Basidiomycota,Agaricomycetes,Agaricales,Psathyrellaceae,Coprinellus_17364,unk"
OTU58,"Fungi,Ascomycota,Sordariomycetes,Sordariales,Chaetomiaceae,Chaetomium_953,Chaetomium_jodhpurense_328056"
OTU272,"Fungi,Ascomycota,Dothideomycetes"
OTU3688,"Fungi,Glomeromycota,Glomeromycetes,Glomerales,Glomeraceae,Glomus_20244,unk"
OTU301,"Fungi,Ascomycota,unk"
OTU1279,"Fungi,Ascomycota,Dothideomycetes,Pleosporales,Coniothyriaceae,Coniothyrium_7765,unk"
OTU277,"Fungi,Ascomycota,Eurotiomycetes,Onygenales,Onygenaceae,Auxarthron_468,unk"
OTU279,"Fungi,Ascomycota,Sordariomycetes"
