	Domain	Phylum	Class	Order	Family	Genus	Species	Species_confidence
OTU462	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	UNKNOWN	UNKNOWN
OTU201	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	UNKNOWN	UNKNOWN
OTU341	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Cladophialophora	UNKNOWN	UNKNOWN
OTU2239	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Coprinus	UNKNOWN	UNKNOWN
OTU933	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Didymosphaeriaceae	g:Paraconiothyrium	UNKNOWN	UNKNOWN
OTU2255	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Herpotrichiellaceae	g:Cladophialophora	UNKNOWN	UNKNOWN
OTU2688	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN	UNKNOWN
OTU2270	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU45	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU556	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pyronemataceae	g:Scutellinia	UNKNOWN	UNKNOWN
OTU2393	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Cantharellales	f:Cantharellales_fam_Incertae_sedis	g:Marchandiobasidium	UNKNOWN	UNKNOWN
OTU264	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Clitopilus	UNKNOWN	UNKNOWN
OTU660	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Clitopilus	UNKNOWN	UNKNOWN
OTU1061	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Tremellales	f:Tremellaceae	g:Tremella	UNKNOWN	UNKNOWN
OTU212	d:Fungi	p:Ascomycota	c:Ascomycota_cls_Incertae_sedis	o:Ascomycota_ord_Incertae_sedis	f:Ascomycota_fam_Incertae_sedis	g:Acrophialophora	UNKNOWN	UNKNOWN
OTU408	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Sordariales_fam_Incertae_sedis	g:Monosporascus	UNKNOWN	UNKNOWN
OTU1353	d:Fungi	p:Chytridiomycota	c:Spizellomycetes	o:Spizellomycetales	f:Powellomycetaceae	g:Powellomyces	UNKNOWN	UNKNOWN
OTU3165	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU235	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Cladorrhinum	UNKNOWN	UNKNOWN
OTU1286	d:Fungi	p:Basidiomycota	c:Tremellomycetes	o:Filobasidiales	f:Filobasidiaceae	g:Heterocephalacria	UNKNOWN	UNKNOWN
OTU3142	d:Fungi	p:Mucoromycota	c:Mucoromycetes	o:Mucorales	f:Rhizopodaceae	g:Rhizopus	UNKNOWN	UNKNOWN
OTU4633	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	g:Malassezia	UNKNOWN	UNKNOWN
OTU182	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	UNKNOWN	UNKNOWN
OTU2576	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN	UNKNOWN
OTU3023	d:Fungi	p:Calcarisporiellomycota	c:Calcarisporiellomycetes	o:Calcarisporiellales	f:Calcarisporiellaceae	g:Calcarisporiella	UNKNOWN	UNKNOWN
OTU152	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU74	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariaceae	g:Arthroxylaria	UNKNOWN	UNKNOWN
OTU3073	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Chaetomiaceae	g:Humicola	UNKNOWN	UNKNOWN
OTU4188	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Xylariales	f:Xylariaceae	g:Arthroxylaria	UNKNOWN	UNKNOWN
OTU2350	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Eurotiales	f:Aspergillaceae	g:Penicillium	UNKNOWN	UNKNOWN
OTU4544	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lophiostomataceae	g:Lophiostoma	UNKNOWN	UNKNOWN
OTU599	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Leucoagaricus	UNKNOWN	UNKNOWN
OTU4606	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Phaeosphaeria	UNKNOWN	UNKNOWN
OTU304	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lentitheciaceae	g:Keissleriella	UNKNOWN	UNKNOWN
OTU1116	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Myxotrichaceae	g:Oidiodendron	UNKNOWN	UNKNOWN
OTU165	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Crepidotaceae	g:Crepidotus	UNKNOWN	UNKNOWN
OTU908	d:Fungi	p:Ascomycota	c:Eurotiomycetes	o:Chaetothyriales	f:Cyphellophoraceae	g:Cyphellophora	UNKNOWN	UNKNOWN
OTU81	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN	UNKNOWN
OTU328	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	UNKNOWN	UNKNOWN
OTU3017	d:Fungi	p:Ascomycota	c:Pezizomycetes	o:Pezizales	f:Pyronemataceae	g:Geopora	UNKNOWN	UNKNOWN
OTU3345	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN	UNKNOWN
OTU3921	d:Fungi	p:Basidiomycota	c:Geminibasidiomycetes	o:Geminibasidiales	f:Geminibasidiaceae	g:Geminibasidium	UNKNOWN	UNKNOWN
OTU4623	d:Fungi	p:Chytridiomycota	c:Rhizophydiomycetes	o:Rhizophydiales	f:Globomycetaceae	g:Globomyces	UNKNOWN	UNKNOWN
OTU1996	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU712	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	UNKNOWN	UNKNOWN
OTU2089	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Cordycipitaceae	g:Lecanicillium	UNKNOWN	UNKNOWN
OTU2496	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Coprinus	UNKNOWN	UNKNOWN
OTU1181	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN	UNKNOWN
OTU3299	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	UNKNOWN	UNKNOWN
OTU4954	d:Fungi	p:Basidiomycota	c:Malasseziomycetes	o:Malasseziales	f:Malasseziaceae	g:Malassezia	UNKNOWN	UNKNOWN
OTU1106	d:Fungi	p:Kickxellomycota	c:Kickxellomycetes	o:Kickxellales	f:Kickxellaceae	g:Ramicandelaber	UNKNOWN	UNKNOWN
OTU1012	d:Fungi	p:Kickxellomycota	c:Kickxellomycetes	o:Kickxellales	f:Kickxellaceae	g:Ramicandelaber	UNKNOWN	UNKNOWN
OTU3871	d:Fungi	p:Mortierellomycota	c:Mortierellomycetes	o:Mortierellales	f:Mortierellaceae	g:Mortierella	UNKNOWN	UNKNOWN
OTU4830	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Lentitheciaceae	g:Keissleriella	UNKNOWN	UNKNOWN
OTU3136	d:Fungi	p:Ascomycota	c:Orbiliomycetes	o:Orbiliales	f:Orbiliaceae	g:Dactylaria	UNKNOWN	UNKNOWN
OTU2620	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU769	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Entolomataceae	g:Entoloma	UNKNOWN	UNKNOWN
OTU1162	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Hypocreales	f:Nectriaceae	g:Fusarium	UNKNOWN	UNKNOWN
OTU2849	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Sordariales_fam_Incertae_sedis	g:Monosporascus	UNKNOWN	UNKNOWN
OTU2785	d:Fungi	p:Ascomycota	c:Leotiomycetes	o:Helotiales	f:Myxotrichaceae	g:Oidiodendron	UNKNOWN	UNKNOWN
OTU2667	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	UNKNOWN	UNKNOWN
OTU4269	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	UNKNOWN	UNKNOWN
OTU1688	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Phaeosphaeriaceae	g:Neosulcatispora	UNKNOWN	UNKNOWN
OTU3410	d:Fungi	p:Glomeromycota	c:Glomeromycetes	o:Glomerales	f:Glomeraceae	g:Rhizophagus	UNKNOWN	UNKNOWN
OTU2452	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Coprinus	UNKNOWN	UNKNOWN
OTU2826	d:Fungi	p:Ascomycota	c:Dothideomycetes	o:Pleosporales	f:Sporormiaceae	g:Preussia	UNKNOWN	UNKNOWN
OTU123	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU1261	d:Fungi	p:Basidiomycota	c:Geminibasidiomycetes	o:Geminibasidiales	f:Geminibasidiaceae	g:Geminibasidium	UNKNOWN	UNKNOWN
OTU1694	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU534	d:Fungi	p:Basidiomycota	c:Agaricomycetes	o:Agaricales	f:Agaricaceae	g:Tulostoma	UNKNOWN	UNKNOWN
OTU53	d:Fungi	p:Ascomycota	c:Sordariomycetes	o:Sordariales	f:Lasiosphaeriaceae	g:Podospora	UNKNOWN	UNKNOWN
